Unnamed: 0,Source,Title,Location,Department,Rating,Date,review,Pros,Cons
0,AmbitionBox,Sales Officer,Jabalpur,Sales Support & Operations Department,5,23-10-2024,Have to learn moreover good.Need more payment,,
1,AmbitionBox,Quality Engineer,Kanpur,Quality Assurance and Testing Department,5,22-11-2024,"Work culture is very good, employees friendly. Nothing to dislike",,
2,AmbitionBox,Quality Engineer,Kanpur,Quality Assurance and Testing Department,5,22-11-2024,Everything is good. I have been working since 1 year. Nothing to dislike,,
3,AmbitionBox,ITI Electrician,Kanpur,"Operations, Maintenance & Support Department",5,22-11-2024,I intrested in your company. Hard work load,,
4,AmbitionBox,Management Staff,Ahmedabad,Management Department,5,22-11-2024,"Not more. Company policy , work culture, Hr policy,",,
5,AmbitionBox,Management Staff,Ahmedabad,Management Department,5,22-11-2024,Good salary. 5.5 days working. No flexibility in timings. Poor work culture. Bossisum.,,
6,AmbitionBox,Production Manager,Ahmedabad,Construction Engineering Department,1,22-11-2024,Group working fine. Non of them,,
7,AmbitionBox,Production Manager,Ahmedabad,Construction Engineering Department,1,22-11-2024,Deal with high volume package. Nothing,,
8,AmbitionBox,Production Manager,Ahmedabad,Construction Engineering Department,1,22-11-2024,Job security and working environment. Employee benefits Work life balance,,
9,AmbitionBox,Technical Lead,Ahmedabad,Software Development Department,3,22-11-2024,I m working in Adani Sportsline And I do best for my Company and I love my Adani Company thank you,,
10,AmbitionBox,Technical Lead,Ahmedabad,Software Development Department,3,22-11-2024,Yes. 6 Days working policy,,
11,AmbitionBox,Technical Lead,Ahmedabad,Software Development Department,3,22-11-2024,"Team work. Nothing, because I just started.",,
12,AmbitionBox,Technical Lead,Ahmedabad,Software Development Department,3,22-11-2024,NA. Saturday half day working,,
13,AmbitionBox,Technical Lead,Ahmedabad,Software Development Department,3,22-11-2024,So many things. IJP process,,
14,AmbitionBox,Assistant Manager,Ahmedabad,Engineering Department,5,22-11-2024,Good. Nothing till time at,,
15,AmbitionBox,Assistant Manager,Ahmedabad,Engineering Department,5,22-11-2024,"Nothing, pathetic company. Everything is more than worst",,
16,AmbitionBox,Deputy Manager,Ahmedabad,Procurement & Purchase Department,5,21-11-2024,Reputed company. Manpower is very less,,
17,AmbitionBox,Assistant Manager F&A,Ahmedabad,Accounting & Taxation Department,4,21-11-2024,"Budget available to take initiatives. Culture, lack of strategy, Saturday working",,
18,AmbitionBox,Assistant Manager F&A,Ahmedabad,Accounting & Taxation Department,4,21-11-2024,Yes. No I am happy working with adani Group,,
19,AmbitionBox,Assistant Manager F&A,Ahmedabad,Accounting & Taxation Department,4,21-11-2024,"Work culture, at the unit was good irrespective of group. Nothing, all was avg and above.",,
20,AmbitionBox,Assistant Manager F&A,Ahmedabad,Accounting & Taxation Department,4,21-11-2024,Nothing. Work culture family life,,
21,AmbitionBox,Accounts Officer,Ahmedabad,Finance Department,5,21-11-2024,Excellent work. Management it's weak,,
22,AmbitionBox,Accounts Officer,Ahmedabad,Finance Department,5,21-11-2024,I wish to last 10 years ago that i recieve job in adani group so i wish to extremely in adani group. I can not to wish that came to problem in our work.,,
23,AmbitionBox,Accounts Officer,Ahmedabad,Finance Department,5,21-11-2024,Employee satisfaction. Nothing to say for negative all is well,,
24,AmbitionBox,Deputy Digital Marketing Manager,Ahmedabad,Advertising & Creative Department,5,20-11-2024,Skill development through training module. NA,,
25,AmbitionBox,Senior Officer,Mirzapur,Accounting & Taxation Department,5,20-11-2024,Overall very nice. Nothing to dislike,,
26,AmbitionBox,Manager,Ahmedabad,Technology / IT Department,1,19-11-2024,Leave and medical policy and sustainability of group. Promotion and increment policy,,
27,AmbitionBox,Manager,Ahmedabad,Technology / IT Department,1,19-11-2024,Good. Job security not given,,
28,AmbitionBox,DPT.Manager,Singrauli,HR Operations Department,5,19-11-2024,Adani forwarding limited My best job 💪. No,,
29,AmbitionBox,DPT.Manager,Singrauli,HR Operations Department,5,19-11-2024,Job security. Untimely promotions and recognitions,,
30,AmbitionBox,Assistant Manager,Mumbai,Construction Engineering Department,4,19-11-2024,yes. i am working interested,,
31,AmbitionBox,"Sr.MIS Executive,sales Coordinator, Sales Support, backend operation, Customer support",Ahmedabad,Operations Department,1,19-11-2024,"Its a highly prestigious company that provides a strong platform in the current market. Adani policies are not consistent across all the domains. For example, RMRW gets the fewest perks, and there is no clear promotion criteria or strong employee welfare benefits.",,
32,AmbitionBox,Assistant Manager (Plant Quality Head),Navi Mumbai,Construction Engineering Department,4,19-11-2024,No planning of work. 10 percent employees are given no increament annually as per company rule.,,
33,AmbitionBox,Assistant Manager (Plant Quality Head),Navi Mumbai,Construction Engineering Department,4,19-11-2024,Good company. Work load and over time,,
34,AmbitionBox,Senior Data Analyst,Ahmedabad,Data Science & Machine Learning Department,2,18-11-2024,The adani group is Vry Growing Company il working culture and environment are good. I have not dislike the Our company,,
35,AmbitionBox,Senior Data Analyst,Ahmedabad,Data Science & Machine Learning Department,2,18-11-2024,Yes. No work life balance available,,
36,AmbitionBox,Senior Data Analyst,Ahmedabad,Data Science & Machine Learning Department,2,18-11-2024,Best place to learning. No work fredom,,
37,AmbitionBox,Senior Data Analyst,Ahmedabad,Data Science & Machine Learning Department,2,18-11-2024,Overall all good 👍. No,,
38,AmbitionBox,Senior Data Analyst,Ahmedabad,Data Science & Machine Learning Department,2,18-11-2024,Salary on time. Transfer in third party contract.,,
39,AmbitionBox,Senior Officer,Ahmedabad,Facility Management Department,5,18-11-2024,Very good. Trust & stability,,
40,AmbitionBox,Assistant Manager-Industrial Relations,Singrauli,Employee Relations Department,4,18-11-2024,Not more but ok. Culture is not friendly but ok to survive..,,
41,AmbitionBox,Assistant Manager-Industrial Relations,Singrauli,Employee Relations Department,4,18-11-2024,Can learn of new skills internally. Company culture is a different one and responsibilities are reversed.,,
42,AmbitionBox,Assistant Manager-Industrial Relations,Singrauli,Employee Relations Department,4,18-11-2024,Adoption of new skills and upgraded system. All good,,
43,AmbitionBox,Assistant Manager-Industrial Relations,Singrauli,Employee Relations Department,4,18-11-2024,Career growth. Working condition in office,,
44,AmbitionBox,Accounts Receivable Executive,Ahmedabad,Aviation & Aerospace - Other Department,1,17-11-2024,Very good. Nothing to dislike at present,,
45,AmbitionBox,Mining Engineer,Katni,Mining Department,5,16-11-2024,Salary on time. Management politics.,,
46,AmbitionBox,Deputy Manager,Ahmedabad,Legal Operations Department,5,16-11-2024,Very good culture but only for on roll employee off rol employee not satisfied with the process. No and no,,
47,AmbitionBox,Deputy Manager,Ahmedabad,Legal Operations Department,5,16-11-2024,👎🏻 don’t join this company. Advise don’t join this company,,
48,AmbitionBox,Deputy Manager,Ahmedabad,Legal Operations Department,5,16-11-2024,Brand name. Doesn't care about Employees,,
49,AmbitionBox,Deputy Manager,Ahmedabad,Legal Operations Department,5,16-11-2024,Just ok. People at Site top management doing favouritism openly.,,
50,AmbitionBox,Deputy Manager,Ahmedabad,Legal Operations Department,5,16-11-2024,Growth opportunity. No dislikes as such everything satisfactory,,
51,AmbitionBox,Officer,Mundra,Operations Department,5,16-11-2024,Nice. Joining process is very slow,,
52,AmbitionBox,Associate Manager in Electrical and Instrumentation,Mundra,Production & Manufacturing - Other Department,5,15-11-2024,Work life balance. Policy implementation is not fully adopted.,,
53,AmbitionBox,Associate Manager in Electrical and Instrumentation,Mundra,Production & Manufacturing - Other Department,5,15-11-2024,Good Company to work with. NIL,,
54,AmbitionBox,Associate Manager in Electrical and Instrumentation,Mundra,Production & Manufacturing - Other Department,5,15-11-2024,"Brand, system, culture. Can't describe",,
55,AmbitionBox,Deputy General Manager,Korba,Power Generation Department,5,14-11-2024,Diversified Work Scope. HR policies,,
56,AmbitionBox,"water ,oil and coal chemistry deputy manager",Nagpur,Operations Department,4,12-11-2024,Work as a sales officer. I work hard,,
57,AmbitionBox,"water ,oil and coal chemistry deputy manager",Nagpur,Operations Department,4,12-11-2024,Delegation. Culture of work with central and site team,,
58,AmbitionBox,"water ,oil and coal chemistry deputy manager",Nagpur,Operations Department,4,12-11-2024,Good opportunity and skill development very good. Ok,,
59,AmbitionBox,"water ,oil and coal chemistry deputy manager",Nagpur,Operations Department,4,12-11-2024,"Good experience, job satisfaction is good. Busy shedule, material theft control is big challenge",,
60,AmbitionBox,"water ,oil and coal chemistry deputy manager",Nagpur,Operations Department,4,12-11-2024,"Good Company to work, Employee friendly and Result oriented. There is nothing much to dislike",,
61,AmbitionBox,Project Engineer - Civil,Rajasthan,Construction Engineering Department,4,09-11-2024,Good company. Job security is poor,,
62,AmbitionBox,Operations Executive,Vapi,Executive Department,5,09-11-2024,Adani santigram is duty experience. Adani santigram working is my experience,,
63,AmbitionBox,Assistant Manager,Ahmedabad,Operations Department,4,08-11-2024,"Good. no,.....adani group very nice and beautiful",,
64,AmbitionBox,Assistant Manager,Ahmedabad,Operations Department,4,08-11-2024,Package full and other facilities. Frequent travelling and no social activities,,
65,AmbitionBox,Assistant Manager,Ahmedabad,Operations Department,4,08-11-2024,"Fresher it's good. Very pethatic for off role job, no increment or no additional benefit",,
66,AmbitionBox,Land Acquisition Executive,Singrauli,Data Science & Analytics - Other Department,2,08-11-2024,Good. No problem I think average,,
67,AmbitionBox,Assistant Manager,Remote,Quality Assurance and Testing Department,3,08-11-2024,On time salary. Micromanagement at all levels. Good only for those staffs who have joined through college campus.,,
68,AmbitionBox,Assistant Manager,Remote,Quality Assurance and Testing Department,3,08-11-2024,Great place for working. No,,
69,AmbitionBox,Assistant Manager,Remote,Quality Assurance and Testing Department,3,08-11-2024,Facilities is the Best. No issue,,
70,AmbitionBox,Assistant Manager,Remote,Quality Assurance and Testing Department,3,08-11-2024,"Flexible timing, Appraisal on time Everything is fine. Nothing",,
71,AmbitionBox,Assistant Manager,Remote,Quality Assurance and Testing Department,3,08-11-2024,Worklife balance. Delay in response over mail,,
72,AmbitionBox,Assistant Manager,Remote,Quality Assurance and Testing Department,3,08-11-2024,Safety 🦺. Not properly guide and not allowed mobile phones 😞,,
73,AmbitionBox,Assistant Manager,Remote,Quality Assurance and Testing Department,3,08-11-2024,Good company. Everything is good,,
74,AmbitionBox,Assistant Manager,Remote,Quality Assurance and Testing Department,3,08-11-2024,Nothing to like. Culture is unethical,,
75,AmbitionBox,Assistant Manager,Remote,Quality Assurance and Testing Department,3,08-11-2024,Only hard working. All things,,
76,AmbitionBox,Assistant Manager,Remote,Quality Assurance and Testing Department,3,08-11-2024,The company takes good care of employees. Everything depends on your immediate boss,,
77,AmbitionBox,Electrical Engineer,Mumbai,Engineering Department,3,08-11-2024,Salary. No support of seniors in trouble time,,
78,AmbitionBox,Electrical Engineer,Mumbai,Engineering Department,3,08-11-2024,work environment. nothing as such disliking was there,,
79,AmbitionBox,Electrical Engineer,Mumbai,Engineering Department,3,08-11-2024,No. Salary was poor and very late....and this company cso Santosh Kumar Sharma was very thief,,
80,AmbitionBox,Electrical Engineer,Mumbai,Engineering Department,3,08-11-2024,"Nothing to like about company. It is having very toxic work culture for lower level employee..No promotion,no reward and you have to stretch working every day.",,
81,AmbitionBox,Electrical Engineer,Mumbai,Engineering Department,3,08-11-2024,All adani group team member friendly work at site,,
82,AmbitionBox,Junior Officer ,Ahmedabad,Finance Department,5,08-11-2024,"Secured Job , reputed company. Office politics , increment , promotio , HR policies",,
83,AmbitionBox,Junior Officer ,Ahmedabad,Finance Department,5,08-11-2024,Working culture is very good. Working place is not fixed,,
84,AmbitionBox,Junior Officer ,Ahmedabad,Finance Department,5,08-11-2024,All members supported. Only like,,
85,AmbitionBox,Site Execution Engineer,Rajpura,Construction Engineering Department,5,08-11-2024,Good learning and skill development for employees. Vast differences in salary in same position employees,,
86,AmbitionBox,Site Execution Engineer,Rajpura,Construction Engineering Department,5,08-11-2024,I like group work and culture of all areas. No,,
87,AmbitionBox,Site Execution Engineer,Rajpura,Construction Engineering Department,5,08-11-2024,Good work culture. Some sites are at remote location,,
88,AmbitionBox,Site Execution Engineer,Rajpura,Construction Engineering Department,5,08-11-2024,Perfectos . .Nothing as much . .,,
89,AmbitionBox,Site Execution Engineer,Rajpura,Construction Engineering Department,5,08-11-2024,"Infrastructure. People are not respective to each other, they should give training for work ethics and behaviour before hiring",,
90,AmbitionBox,Plant Quality Head (Plant Incharge),Kolkata,Construction Engineering Department,5,07-11-2024,Not satisfied.Not systamatic work,,
91,AmbitionBox,Senior Engineer,Bathinda,Construction Engineering Department,4,07-11-2024,Very good company Adani Group. Yes,,
92,AmbitionBox,Senior Engineer,Bathinda,Construction Engineering Department,4,07-11-2024,skill development. employee appreciation program,,
93,AmbitionBox,Officer,Rae Bareli,Construction Engineering Department,5,07-11-2024,No likes worst. All dislikes worst,,
94,AmbitionBox,Mechanical Maintenance Engineer,Mundra,Engineering Department,1,07-11-2024,"We are pleased to inform you that your salary has been credited on time as per the payroll schedule. Have some concerns regarding my salary structure. Specifically, the PLI (Performance Linked Incentive) is unclear, and I would appreciate clarification on whether it is counted as part of my CTC. Additionally, despite receiving a good opportunity elsewhere, my current reporting boss is unwilling to relieve me.",,
95,AmbitionBox,Mechanical Maintenance Engineer,Mundra,Engineering Department,1,07-11-2024,Company growth and salary correction. Food quality in canteen.,,
96,AmbitionBox,Mechanical Maintenance Engineer,Mundra,Engineering Department,1,07-11-2024,Safety and behaviour of all my senior staff. Nothing,,
97,AmbitionBox,Mechanical Maintenance Engineer,Mundra,Engineering Department,1,07-11-2024,Best work environment. Not applicable,,
98,AmbitionBox,Civil Site Engineer,New Delhi,Construction Engineering Department,4,03-11-2024,Working culture is highly appreciated. Timing issues,,
99,AmbitionBox,Civil Site Engineer,New Delhi,Construction Engineering Department,4,03-11-2024,No work only relax. A hell lot of politics. If you can please your manager then only you’ll get promotion and appraisals. Very low increment. HR first promote themselves then look for other departments promotions.,,
100,AmbitionBox,Assistant Manager-Human Resources(TA & TD),Ahmedabad,HR Business Advisory Department,4,03-11-2024,Job security and wider option of IJP in different fields that's ADANI is working only after completing 3 years in Adani. Politics and HR dominance in all OPERATIONS,,
101,AmbitionBox,"DEP Manager, Sales",Thiruvananthapuram,Enterprise & B2B Sales Department,4,03-11-2024,"Gautam adani rest of this worst culture by superior. Don’t have any work ethic’s. Work culture, no job security worst work culture no teamwork",,
102,AmbitionBox,"DEP Manager, Sales",Thiruvananthapuram,Enterprise & B2B Sales Department,4,03-11-2024,Salary. Type of work and lack of clarity,,
103,AmbitionBox,"DEP Manager, Sales",Thiruvananthapuram,Enterprise & B2B Sales Department,4,03-11-2024,Leave benifit. Hiring process and offering process,,
104,AmbitionBox,"DEP Manager, Sales",Thiruvananthapuram,Enterprise & B2B Sales Department,4,03-11-2024,"All policy's are determined and digitalized, this is good sign. Everything we will get in one click. Transfers - due to transfers family and childern education it's very suffer.",,
105,AmbitionBox,Assistant Manager,Mangaluru,"Security / Fraud Department

",4,01-11-2024,"Thier stability and the upcoming growth. Lot of beaurocracy, Many hidden and strategic decisions",,
106,AmbitionBox,Assistant Manager,Mangaluru,"Security / Fraud Department

",4,01-11-2024,Great work place for learning. Always Management requirement is High,,
107,AmbitionBox,Assistant Manager,Mangaluru,"Security / Fraud Department

",4,01-11-2024,Great place to work. Nothing,,
108,AmbitionBox,Deputy Manager,Ahmedabad,Audit & Control Department,3,01-11-2024,"Salary on time, Company is good, but HOD are only after money. Top management decesion making Not able to handle the HOD. Politics at site. Cunning HOD only want to earn from vendor. Favartisim at site. Not clear with the role and responsibilities. HOD only forwarding assignment and only want to be in limelight. They don't want their juniors that they learn or Mingle with other departments staff.",,
109,AmbitionBox,Deputy Manager,Ahmedabad,Audit & Control Department,3,01-11-2024,Good company. No dislike Adani group good construction,,
110,AmbitionBox,Deputy Manager,Ahmedabad,Audit & Control Department,3,01-11-2024,No work pressure. No job security,,
111,AmbitionBox,Deputy Manager Billing & QS,Ahmedabad,Construction Engineering Department,5,01-11-2024,Culture. More Perks should be given,,
112,AmbitionBox,Assistant Manager,New Delhi,Quality Assurance and Testing Department,3,30-10-2024,All seems ok. Top management,,
113,AmbitionBox,Assistant Manager,New Delhi,Quality Assurance and Testing Department,3,30-10-2024,Assembly fitter gan. Assembly fitter gan,,
114,AmbitionBox,Assistant Manager,New Delhi,Quality Assurance and Testing Department,3,30-10-2024,I like Electricity area Underground wire And working. Coordination with officer,,
115,AmbitionBox,Sales Officer,Indore,Operations Department,3,27-10-2024,"Auto mission , sefty. Housekeeping, services",,
116,AmbitionBox,Sales Officer,Indore,Operations Department,3,27-10-2024,Its a good opportunity for carrier growth. Nothing but upgrade the policy for employees who have studying along with continue job.,,
117,AmbitionBox,Sales Officer,Indore,Operations Department,3,27-10-2024,Work pressure is less. Senior not support,,
118,AmbitionBox,Sales Officer,Indore,Operations Department,3,27-10-2024,Salary credited on time. Site culture,,
119,AmbitionBox,Project Coordinator- Deputy Manager,Ahmedabad,Construction / Manufacturing Department,1,26-10-2024,Learning and Development. Sales Pressure,,
120,AmbitionBox,Project Coordinator- Deputy Manager,Ahmedabad,Construction / Manufacturing Department,1,26-10-2024,Overall good. Work life balance is bad,,
121,AmbitionBox,Project Coordinator- Deputy Manager,Ahmedabad,Construction / Manufacturing Department,1,26-10-2024,Zero job security. No more devlopment. 80% employee not happy with today's culture and atmosphere. Suddenly they transfer in third party,,
122,AmbitionBox,Project Coordinator- Deputy Manager,Ahmedabad,Construction / Manufacturing Department,1,26-10-2024,Good place to learn. No job security,,
123,AmbitionBox,Talent Acquisition Consultant - Contractual,Ahmedabad,Recruitment & Talent Acquisition Department,2,26-10-2024,Good. No one is dislike,,
124,AmbitionBox,Talent Acquisition Consultant - Contractual,Ahmedabad,Recruitment & Talent Acquisition Department,2,26-10-2024,Overall Excellent. medical policy is not good.,,
125,AmbitionBox,Senior Manager O & M -Shift incharge,Godda,"Operations, Maintenance & Support Department",3,25-10-2024,Work culture. Appraisal process which need to be review,,
126,AmbitionBox,Senior Manager O & M -Shift incharge,Godda,"Operations, Maintenance & Support Department",3,25-10-2024,Extra curicular activities Cultural programs. Everything,,
127,AmbitionBox,Senior Manager O & M -Shift incharge,Godda,"Operations, Maintenance & Support Department",3,25-10-2024,Likes all ok. no,,
128,AmbitionBox,Administration Manager,Ahmedabad,Administration Department,4,25-10-2024,"Job security, learning opportunities are huge. Saturday working, office politics",,
129,AmbitionBox,Administration Manager,Ahmedabad,Administration Department,4,25-10-2024,Adani group is very good. He does not see his client's fault,,
130,AmbitionBox,Administration Manager,Ahmedabad,Administration Department,4,25-10-2024,I like this safety and security purpose and many benefits provided to township peoples. Nothing,,
131,AmbitionBox,Assistant Manager,Ahmedabad,Software Development Department,5,25-10-2024,Adani Top 1. Nothing,,
132,AmbitionBox,Senior Manager Information Technology,Bhubaneswar,IT Infrastructure Services Department,4,25-10-2024,Best learning here working at Adani. Nothing,,
133,AmbitionBox,Senior Manager Information Technology,Bhubaneswar,IT Infrastructure Services Department,4,25-10-2024,Nothing. Work culture unstructured way of working,,
134,AmbitionBox,"Assistant Manager - Administration, Facility & IR",Mumbai,Administration Department,5,24-10-2024,"Self Learning opportunities, culturally flat. Salary and benifits",,
135,AmbitionBox,"Assistant Manager - Administration, Facility & IR",Mumbai,Administration Department,5,24-10-2024,"Safety & Training, 5S & reports. I don't know because I am new joining.",,
136,AmbitionBox,Manager,Hyderabad / Secunderabad,Construction Engineering Department,5,24-10-2024,"Job security, salary and benefits, less work pressure. Work satisfaction, company culture.",,
137,AmbitionBox,Manager,Hyderabad / Secunderabad,Construction Engineering Department,5,24-10-2024,New job apply. Nothing,,
138,AmbitionBox,Manager,Hyderabad / Secunderabad,Construction Engineering Department,5,24-10-2024,Like but career growth is poor specially Land acquisition. Working hours is very critical Situation due to mine distance from city,,
139,AmbitionBox,Assistant Manager,Ahmedabad,Construction / Manufacturing Department,4,24-10-2024,"Matches the industry salary, great team members to guide you through complex transactions, flexible timings, good office environment. Exposure to various business lines and verticals. Sometimes the promotions are stagnated.",,
140,AmbitionBox,Assistant Manager,Ahmedabad,Construction / Manufacturing Department,4,24-10-2024,excelent. Nothing,,
141,AmbitionBox,Teritory Sales Officer,Kolkata,Enterprise & B2B Sales Department,5,24-10-2024,Best company in india. No everything is best,,
142,AmbitionBox,Senior Manager,Mundra,Construction / Manufacturing Department,3,22-10-2024,"Team Work , Great work culture. Not Applicable",,
143,AmbitionBox,Senior Manager,Mundra,Construction / Manufacturing Department,3,22-10-2024,Happy service. This goddess app,,
144,AmbitionBox,Senior Manager,Mundra,Construction / Manufacturing Department,3,22-10-2024,Good learning Equal opportunities Fast pace working Perform or perish. Nil work life balance,,
145,AmbitionBox,Senior Manager,Mundra,Construction / Manufacturing Department,3,22-10-2024,On time salary. No personal life,,
146,AmbitionBox,Senior Site Engineer,Mumbai,Construction Engineering Department,5,19-10-2024,"Adani group one of biggest company in india. Everything. No growth, knowledge, promotion. Just working like a slave.",,
147,AmbitionBox,Senior Site Engineer,Mumbai,Construction Engineering Department,5,19-10-2024,Good place for working. Time,,
148,AmbitionBox,Security Officer,Hyderabad / Secunderabad,Security Officer Department,5,18-10-2024,I'm interested this group with sells and transport department any requirement for logistics. As a work farfact planning.,,
149,AmbitionBox,Security Officer,Hyderabad / Secunderabad,Security Officer Department,5,18-10-2024,Nothing. Management forcefully transferring people from one location to another with out any benefits for one single mistake they are giving NI which means no increment for a year,,
150,AmbitionBox,Security Officer,Hyderabad / Secunderabad,Security Officer Department,5,18-10-2024,Good at beginning. Time waste,,
151,AmbitionBox,Security Officer,Hyderabad / Secunderabad,Security Officer Department,5,18-10-2024,Not a company for your growth. Toxic work culture,,
152,AmbitionBox,Security Officer,Hyderabad / Secunderabad,Security Officer Department,5,18-10-2024,Not joining still now. I am applied for adani group,,
153,AmbitionBox,Head of the Department Civil,Nellore,Construction / Manufacturing Department,5,17-10-2024,Adani group has evolved as a benchmark in best work culture and employee satisfaction practices. Nothing such,,
154,AmbitionBox,Head of the Department Civil,Nellore,Construction / Manufacturing Department,5,17-10-2024,Focus on automation. Long timing and Saturday working and even Sunday working,,
155,AmbitionBox,Engineer,Bhadrak,"Operations, Maintenance & Support Department",4,17-10-2024,Im working since 14yers of the same compny but my salary is not growth same salary so i was found a new job other wise staffs are good .n over all good .but in my future growth nothing .thank you. Good Manegment. Poor Hr team,,
156,AmbitionBox,Engineer,Bhadrak,"Operations, Maintenance & Support Department",4,17-10-2024,What is the best part of working at the company? exploring in different work cultures What is the most stressful partabout working at the company? employees are not properly recognized which are working in the ground level,,
157,AmbitionBox,Employee Relations Officer,Ahmedabad,Employee Relations Department,5,17-10-2024,Maintenance technician is work very different .u must have to knowledge and experience to how to complete ur work safe..like cricket match all day are new day for you ..u learning every day by day in mechanical work. Some time. 36 hours,,
158,AmbitionBox,Employee Relations Officer,Ahmedabad,Employee Relations Department,5,17-10-2024,"Except job security, all other arrangements are very good like respected seenier help all about any kind of problem good. The work experience so far has been very good",,
159,AmbitionBox,Employee Relations Officer,Ahmedabad,Employee Relations Department,5,17-10-2024,"News writer Please trust my work and experience Better management within my knowledge
Online work from my address
Yes I am work hard
Yes i always enjoy my job",,
160,AmbitionBox,Sales Officer,Remote,Sales Support & Operations Department,5,17-10-2024,"All well not cons, it's a remote location however all is catered for employees. Management is supportive and encouraging. It is heartening to learn more about yourself particularly for growth",,
161,AmbitionBox,Associate Manager,Ahmedabad,Mining Department,3,16-10-2024,"What is the best part of working at the company? Using SAP Software & Company time Table is best

What is the most stressful part about working at the company?
No there is no answer of this question


What is the work environment and culture like at the company?
I am in Recovery Department for 1 year

What is a typical day like for you at the company?
Sat is the best Day of Week for work",,
162,AmbitionBox,Associate Manager,Ahmedabad,Mining Department,3,16-10-2024,Good company to grow your career . Lots of learnings and challenges which build your skills. Cooperative teamwork. Good management. Health Benefits,,
163,AmbitionBox,Finance Executive,Mangaluru,Finance Department,2,16-10-2024,"Good opportunity for fresh minds, working hours - Monday to Saturday. Work place culture depends on the location but overall decent . Great opportunity across the group.",,
164,AmbitionBox,Finance Executive,Mangaluru,Finance Department,2,16-10-2024,Very Political and bad management Only go in this company If you need just Adani wilmar experience Otherwise please look others coz there is no growing opportunities,,
