review,rating,header,SourcePortal,Key_Column
Stopped off in Singapore for a short visit as part of our anniversary trip. Cannot fault it made it extra special for us by leaving complimentary balloons strawberries and wine in our room. Staff going that extra mile to please guest and genuine.Check in...More,5,Faultless visit,TripAdvisor,The Fullerton Hotel Singapore_TripAdvisor
We just had two heavenly nights at the Fullerton a luxury hotel contained within the old Singapore Post Office building. Amazingly I had stayed here once before fifteen years ago and they still had my (very old) address and contact details. It's this attention to...More,5,Up there with the best,TripAdvisor,The Fullerton Hotel Singapore_TripAdvisor
Soaked by the humidity and then a downpour we decided to seek refuge in the hotel and have a bite to eat. Despite our bedraggled appearance we were warmly welcomed and taken to the central eating area. Service was great ( a little OTT but...More,4,Welcome relief,TripAdvisor,The Fullerton Hotel Singapore_TripAdvisor
Despite not staying at the Fullerton Hotel we certainly wanted to take a look at the interior and weigh up the High Tea options available to guests and residents of the Hotel. The grandeur and history of the Hotel emanates from all angles the staff...More,4,Renowned hotel,TripAdvisor,The Fullerton Hotel Singapore_TripAdvisor
I have been staying in this hotel at the end of May.Arrived at 3.30pm the room was not ready. Staff were hopeless. Only explanation gave me we were fully booked last night. But check out at 11am or 12pm. Call the manager the number...More,1,Very Disappointed,TripAdvisor,The Fullerton Hotel Singapore_TripAdvisor
Return visit to the same place but it was totally revamped! This time round they had capsules instead of the previous bunk beds. The floors were tiled and the ladder were one of the easier to climb. Service staff remain professional and friendly. They now...More,5,Secretly revamped - I was surprised!,TripAdvisor,Quarters Hostel_TripAdvisor
Thoroughly enjoyed my stay here. Good location value prices situated along a quaint street of famous eats (the local Yong tau foo stall across Quarters is a must-try so are the crepes at O Compotoire!). Night life is a sight to see with Singapore River...More,5,Clean chic comfortable!,TripAdvisor,Quarters Hostel_TripAdvisor
This hostel is really nice and tidy. Always clean even the share bathrooms not too much crowded good basic breakfast WiFi perfectly reception in the room; close to the station night city life mall and Clarke quay. Very cheap and good value for money!,5,Good money value,TripAdvisor,Quarters Hostel_TripAdvisor
Such a cozy hostel which is located on the very heart of city.  Itâ€™s very close to MRT and itâ€™s very convenient to find good food and good supper. Itâ€™s just walking distance to Clarke Quay to enjoy the very cool night life in Singapore...More,4,Cozy hostel,TripAdvisor,Quarters Hostel_TripAdvisor
We used to stay on 2016 and 23-25 March for 5 person.. Family friendly hostel.. The room and facilities still remain the same.. Bathroom always clean as we expected.. Eggs also available for breakfast .. Hot water for baby's food at anytime.. Location also our...More,5,Still the best hostel for family,TripAdvisor,Quarters Hostel_TripAdvisor
Hotel is well located next to boat quay and walking distance to city hall. Value for money as singapore is very expensive. Decent size rooms simple breakfast and no frills property. Perfect for a short stay,5,Nice compact hotel in central area,TripAdvisor,The Quay Hotel_TripAdvisor
This is a small boutique hotel; a three star. Itâ€™s fair the reception area is very small the rooms are nice - clean and an okay size bathrooms also clean; all very modern. Donâ€™t expect a view from the room or anything of the sort....More,3,Fair,TripAdvisor,The Quay Hotel_TripAdvisor
Caught bus from Airport.  The hotel is conveniently on one of airport bus runs.  It's only a small place but the staff are friendly and helpful; the rooms are clean and adequate and they have a reasonable buffet breakfast.  It is a short walk to...More,4,Good location and good value for money,TripAdvisor,The Quay Hotel_TripAdvisor
Small hotel in an excellent location very close to Boat Quay and a short walk to Clarke Quay.Walk able to every major attraction.Room small and no wardrobe or hanging space and only really suitable for a maximum of two nights.,3,great location for Boat Quay eating and drinking,TripAdvisor,The Quay Hotel_TripAdvisor
Extremely nice place to stay. Close to everything . Excellent and very friendly staff. Breakfast could be better. It is in the centre of the town and all worthwhile places are walking distance. Bus stop is almost inside the hotel. Value for money. Rooms could...More,5,Well located,TripAdvisor,The Quay Hotel_TripAdvisor
It was very nice hotel polite staff clean room the only problem was a little noise of the room beside us But this is not Hotel fault The fault was the chinese tourists.we spend 3 night there and also the food was okMore,4,Nice clean,TripAdvisor,Hotel Clover The Arts_TripAdvisor
This is an interesting hotel. We had an inside room and it was small but had everything we required. Clean and comfortable.. It is very convenient for Clarkes Quay and the river area. Staff very helpful and friendly.Breakfast was at the 'sister' hotel just around...More,5,Small but comfortable,TripAdvisor,Hotel Clover The Arts_TripAdvisor
Good breakfast good neighbourhood very confortable bed and very confortable room. Super clean and tidy. Better than I expected. Rooms look way better than the corridors and reception.Very small room but that's what you get when you want an affordable and comfortable room in...More,4,Good for Singapore!,TripAdvisor,Hotel Clover The Arts_TripAdvisor
Visited during a stop over to Australia on a family trip. The hotel was tucked neatly between various shops and was clean and tidy with helpful staff. The rooms were relatively small but the old adage 'you get what you pay for' applies and I...More,4,A great budget hotel,TripAdvisor,Hotel Clover The Arts_TripAdvisor
The hotel is ok for a single person staying or a couple travelling (very light).  Pros:  clean room and all essentials are thereCons: room is a shoe box - in the toilet wasnâ€™t possible to sit down straight as knees would be right up...More,2,Not impressed..,TripAdvisor,Hotel Clover The Arts_TripAdvisor
Excellent place to stay if you like some peace and quiet. Private and relaxing. Clean. Suitable for business or study trips. Great for doing some work during your stay. Well designed and thought through interiors.More,5,very private,TripAdvisor,Ascott Raffles Place Singapore_TripAdvisor
Ascott Raffled Place was home for three months to me and my husband. It was strikingly clean and well organized from check in to check out and living in between. Staff is well trained friendly and very supportive and service oriented. Pool on 19th floor...More,5,Propably one of the BEST serviced and well organized apartments worldwide I have ever been to!,TripAdvisor,Ascott Raffles Place Singapore_TripAdvisor
I visited during Japan's one of the biggest holiday called Golden week. It was my 4th time to visit singapore and I do love this area the most.  I only chose this hotel because it is a service apartment with full kitchen. During my 5...More,5,very comfortable stay,TripAdvisor,Ascott Raffles Place Singapore_TripAdvisor
This is an outstanding place to enjoy a few days.  Just steps from the MRT It has a warm inviting lobby and wonderful people staffing it.  As with many modern hotels you must swipe your key card before ascending in the elevator; a security feature...More,5,I would give this 6 stars if I could,TripAdvisor,Ascott Raffles Place Singapore_TripAdvisor
First trip to Singapore this hotel makes our trip so memorable. Huge room rare in this area. Nice staff service is exceptional. Walking distance to several places: 2 mins walk to Lau Pa Sat 5 mins to Merlion 20 mins to the Garden By The...More,5,Great Service,TripAdvisor,Ascott Raffles Place Singapore_TripAdvisor
Nice little hotel with tiny well appointed rooms. Rooms where clean and drinks restocked each dayThe location is great close to all transport and less then $30 ride from the airport by taxicheckout was midday so no rushReception staff where polite friendly...More,4,Central Locatation for a Father & Son stopover,TripAdvisor,Hotel Clover 5 HongKong Street_TripAdvisor
This hotel was efficient confortable and centered! It was the perfect relation between price and quality! The breakfast was good and the little roof terrace nice! Perfect for people who look for an hotel with convinient prices!More,4,Perfect location and good prices!,TripAdvisor,Hotel Clover 5 HongKong Street_TripAdvisor
Just here for the weekend used to live in Singapore and had plenty to do so all I needed was a soft bed and a hot shower. The room was tight but enough for what I needed. Could maybe have used a bit more closet...More,5,Compact but comfortable,TripAdvisor,Hotel Clover 5 HongKong Street_TripAdvisor
The leaked toilet is not serious it just dripped all day all night. I believed the water leaked slowly from the tank. The sound was ironically soothing though. Not annoying. I guess that was why I didn't say anything bad about it when checking out....More,4,Clean affordable room with a leaking toilet,TripAdvisor,Hotel Clover 5 HongKong Street_TripAdvisor
Hotel is well situated for all attractions. MRT Clarkeâ€™s key is 5 minutes away. Staff are friendly and helpful allowed us to check in at 8 am after an over night flight for 20 dollars! This was much appreciated. Beds are comfy and air con...More,4,Visit to singapore,TripAdvisor,Hotel Clover 5 HongKong Street_TripAdvisor
The hotel is clean cozy and the staffs are very friendly. They provide handphone for the guest and you can use it for local calls and browsing internet as well while your outside the property and it was a big help for us. Thumbs up!!!More,5,Excellent,TripAdvisor,Hotel Clover 7_TripAdvisor
Compact hotel with pleasant and helpful staff within a few minutesâ€™ walk of Clarke Quay metro and a short distance from the central attractions - Clarke Quay Boat Quay China Town Asian Civilisations Museum etc.The hotel is fitted out to a good standard and...More,4,Central Location,TripAdvisor,Hotel Clover 7_TripAdvisor
First of all let me say that the Clover7 is stylish modern decor clean and cosy.  That's the good side!My wife and I though not extra large are not the smallest of people which caused a problem.  The rooms are tiny not small but...More,3,Lovely fittings shame about the space,TripAdvisor,Hotel Clover 7_TripAdvisor
The smallest room I have ever stayed in. Prices are high in Singapore and I wanted a central location so after all I can live with the fact that ths room was cramped.Singapore is a great city. Enjoy it!More,3,Cramped but clean,TripAdvisor,Hotel Clover 7_TripAdvisor
To cut it short the location is the only reason why someone should book a room here - it is close to the bus and metro stations and if you want you can walk to some of the main attractions of the city. The rooms...More,3,Avoid it if you can,TripAdvisor,Hotel Clover 7_TripAdvisor
Good service very friendly especially Ms. Wong. She is kind polite and gives warm service.The place has a good location - near mall and chinatown. The room is clean with functioning aircon and refrigeratorAlso near clarke quay station bus station and taxi stand,5,Good service,TripAdvisor,Jayleen 1918 Hotel_TripAdvisor
My family and I spent our vacation from May 23 to 26..our first travel in Singapore and stayed in this hotel..accommodation was great food was ok but to top it all was the service provided to us..location was perfect..highly recommend this hotel for budget conscious...More,4,Vacation,TripAdvisor,Jayleen 1918 Hotel_TripAdvisor
At first asked for another room  just after seeing the first one. It was very shabby and stinked horribly with some detergent or mothballs. The second room was a little bit better and I was too tired to look for another hotel. I will not...More,2,Horrible fault,TripAdvisor,Jayleen 1918 Hotel_TripAdvisor
This location is walkable to Riverside walk China town Buggy street Bus Access Easy access for Taxi DNA Helix bridge Merlion MRT variety of food stall in Clarke Quay and Fort Canning Park. Family stay was nice comfortable with all promised free breakfast tea and...More,4,Comfortable family stay with walk-able attractions,TripAdvisor,Jayleen 1918 Hotel_TripAdvisor
The best thing of the hotel is the location 3 minute walking to the subway walking distance to Chinatown. The staff was really kind with us.The rooms are small and the buffet breakfast is average. Wifi wasnâ€™t good slow and was hard to connect...More,3,An average hotel with great location,TripAdvisor,Jayleen 1918 Hotel_TripAdvisor
We stayed at Champion Hotel for three nights and found our stay and experience pleasurable and value for money.The good aspects of our stay involved the friendly staff at reception and cleaners. We have to credit one member of the maintenance staff for helping...More,3,Pleasant stay,TripAdvisor,Champion Hotel City_TripAdvisor
Although I was in transit and checked in at 11pm it had everything I needed.Very small but for $92 I just need a bed and shower before my next flight. It is across the road from Clark Quay plaza and a couple of hundred...More,5,Very practical,TripAdvisor,Champion Hotel City_TripAdvisor
I have visited their hotel from 8 May to 11 May unfortunately there were many fleas.  Bites are itchy and painful. Although the hotel is convenient and the environment is ok. I feel really upset and painful.,1,Hotel is convenient but too many fleas bites me,TripAdvisor,Champion Hotel City_TripAdvisor
What a tiny little gem. Well located next to Clark Quay MRT and Clark Quay Central across the street. Rooms are itsy but well designed and quiet. It didn't bother me that I did not have a window. Easy walk to Chinatown. The mall across...More,5,Perfect,TripAdvisor,Champion Hotel City_TripAdvisor
Perfect for a quick stay in a central location. Rooms are nice and clean a little small but perfect for a short stay. Staff are helpful. Late check out at 12pm which is good and they held our bags all day for not charge. Overall...More,4,Quick stay,TripAdvisor,Champion Hotel City_TripAdvisor
I enjoyed my stay. However I am a low maintenance traveler give me AC hot water solid cable and security and I am happy. The hotel is small with compact rooms so if you are looking for a relaxing place to retreat and relax this...More,4,The hotel worked for me; I enjoyed my stay and would comeback.,TripAdvisor,Jayleen Clarke Quay Hotel_TripAdvisor
Our stay was only 3 nights so we picked this hotel for the location. The room was tiny but it had some drawers for storage and room under the bed for luggage. The hot water was a bit tempermental but came through hot eventually. Toiletries...More,3,Good location small rooms.,TripAdvisor,Jayleen Clarke Quay Hotel_TripAdvisor
I went to Singapore for official reasons... So obviously price wasn't a factor for me... I loved the location... The room was cute tiny and compact I know what you are thinking these were the most positive words I can think for a small room......More,5,SATISFACTION GURANTEED,TripAdvisor,Jayleen Clarke Quay Hotel_TripAdvisor
I didn't enjoy my stay in the hotel. It's not cheap either. You are basically paying a premium for the location. The moment we saw our room 554 we wanted to leave! The first room we stayed in was very very small and one quarter...More,1,Disappointing tacky hotel,TripAdvisor,Jayleen Clarke Quay Hotel_TripAdvisor
There are 2 related hotels by this name in SG. We had to walk to the other for breakfast. Convenient loc good WiFi and aircon. But rooms tiny TINY! The hot water is tepid at best. The reception staff are great friendly welcoming and helpful.,3,Jayleen Clark Hotel,TripAdvisor,Jayleen Clarke Quay Hotel_TripAdvisor
I like the fact that this hotel is located very right in Clarke Quay a mere short walking distance to MRT Boat Quay and Clarke Quay Central mall! Just the things I really was looking for when booking hotels.  You can even reach chinatown for...More,3,Good value for money close to mrt and shopping centre. Would recommend for people on a budget.â€,TripAdvisor,Fragrance Hotel - Riverside_TripAdvisor
I'm ecstatic to share my very pleasant experience with Fragrance Hotel Riverside.  It has definitely met my expectations and needs.- Fast check-in/out and accommodating reception staff. They also arranged airport transfer during our flight going back. - Rooms are cleaned everyday even without asking....More,5,Very Satisfied Guest,TripAdvisor,Fragrance Hotel - Riverside_TripAdvisor
Not as good as the first time i stayed here but still a good location for the buget traveler. MRT & Clark Quay right across the road. A cheap asian food court is located in the basement of the mall. My only problem was that...More,3,Good location,TripAdvisor,Fragrance Hotel - Riverside_TripAdvisor
Got an upgrade which was good as I may have struggled otherwise. Room was clean and small which I has expected but wasn't prepared for bathroom. No lip or curtain around  shower qhich meant every thing got wet and I mean everything.  My ensuite in...More,2,Good location,TripAdvisor,Fragrance Hotel - Riverside_TripAdvisor
We stayed here for 2 nights on a stop over. Great location  within walking distance to shops  china town and restaurants. Check in was quick and easy and staff were friendly. We had 2 rooms and they were very small but I expected...More,4,Great location  friendly staff & clean room,TripAdvisor,Fragrance Hotel - Riverside_TripAdvisor
Stayed for 6 nights at the end of May in an Orchid Club premier room and we were very happy that we had upgraded to this room.  The service we received fron Ken who was everywhere but available when needed was excellent..  Also Kimberly...More,5,An excellent hotel albeit a little expensive...,TripAdvisor,PARKROYAL on Pickering_TripAdvisor
This hotel has a few distinctive features:1. Eco friendly - Some of the walk ways are open air. Free water is provided in glass bottles that is refilled each day. The pens are made using bamboo. There are vertical plants and other greenery that...More,5,A 5 Star Hotel with a Difference,TripAdvisor,PARKROYAL on Pickering_TripAdvisor
My business trip saw me return to the Park Royal and I decided to use the Spa for the first time. I had an amazing facial experience with Jasmyn who was brilliant. Knowledgeable but also appreciated I was tired so created a peaceful relaxing experience....More,4,Great Spa Experience,TripAdvisor,PARKROYAL on Pickering_TripAdvisor
Stayed overnight from a recent trip from Bali in May and the only regret was staying for only a night. Was upgraded to an Executive Suite and that room was absolutely gorgeous. Separate living area from the bedroom and the bathroom was huge. The bath...More,5,Fantastic Hotel,TripAdvisor,PARKROYAL on Pickering_TripAdvisor
Great design and comfort in each room.I really love that each room provided water in glass bottles to limit trash. Surrounded by building in the city once inside the hotel I felt very far away from the city.,5,Great attention to details,TripAdvisor,PARKROYAL on Pickering_TripAdvisor
Small rooms as one can expect in this price range and neighborhood but bigger than many if you choose the deluxe which you should.  There is a good bar and restaurant on the ground floor that offer significant discounts for guests.  The rooms are clean...More,4,Great Chinatown location.,TripAdvisor,The Southbridge Hotel_TripAdvisor
Very reasonably priced hotel for Singapore standards. Small and compact as expected but clean and did the job. Close to the metro station and making it a convenient location to get around from. Would stay again.,4,Reasonably priced,TripAdvisor,The Southbridge Hotel_TripAdvisor
We didn't stay in the hotel but happened across the bar. Had a very pleasant couple of hours in the back bar  which is atmospheric and comfortable  staff were reasonably attentive. Can recommend the bar.,4,Very pleasant bar,TripAdvisor,The Southbridge Hotel_TripAdvisor
It's a good three star hotel and you get what you pay for. Everything is as expected with good amenities - wifi air con safe in room.  Excellent location close to Chinatown and MRT and free welcome drink which is a nive touch.Room is...More,4,Small but good location clean and cozy,TripAdvisor,The Southbridge Hotel_TripAdvisor
After dinner cognac here and great place to do it in. It's quite a friendly bar downstairs. The atmosphere is very warm and casual and a great service as well. Pretty good drink list and the place is missing hype which is nice.,4,Great bar downstairs,TripAdvisor,The Southbridge Hotel_TripAdvisor
We had 4 nights at this wonderful hotel - we cannot thank Ariane Rodriguez Garcia enough - she is the Guest Relation Manager - what a wonderful person went out of her way to make sure our staff was amazing and it was - we...More,5,Amazing staff,TripAdvisor,Peninsula Excelsior Hotel_TripAdvisor
We stayed here for most of two weeks the first week for work the latter days for exploring the city.  It's very centrally located and is an inexpensive cab ride or even walking distance to many of Singapore's attractions.  The rooms are similar in size...More,4,Good mid-level hotel with good service,TripAdvisor,Peninsula Excelsior Hotel_TripAdvisor
Read a lot of not good reviews but have to say great hotel clean friendly staff room is very clean and well looked after you are close to everything Clark quey China town the hop on hop off bus station just over the road of...More,4,Great location close to Clarke Quey,TripAdvisor,Peninsula Excelsior Hotel_TripAdvisor
Average stay wonâ€™t be staying again.Construction work next door went on most of the night and kept us awake until early hours of the morning. The flood lights from the construction at night came into the room from the sides of the blinds.The...More,3,Stop over,TripAdvisor,Peninsula Excelsior Hotel_TripAdvisor
I'd read some previous reviews so I was a bit worried about our stay here but was pleasantly surprised. The room was large and very comfortable. The bathroom was spacious with a great shower and a bath! There was plenty to choose from at breakfast...More,4,Pleasantly surprised,TripAdvisor,Peninsula Excelsior Hotel_TripAdvisor
Stayed on the 19th floor not much of view we were looking out towards a building site. The location is execllent short walk to a number of attractions. Overall this hotel has seen better days and our room was dated but suited our needs. Friendly...More,3,2 night stopover,TripAdvisor,Furama City Centre_TripAdvisor
My husband and I have just spent a lovely six nights here in an Executive room and highly recommend it. We would like to particularly thank you the staff in the Executive lounge especially Man Loong Pauline Anna and Dipen and also Huang Meilan from...More,5,Great service location and Executive Club,TripAdvisor,Furama City Centre_TripAdvisor
Tired decor but excellent staff service and location. Central for Clarke Quay Boat Quay and Chinatown. Close to Fort Canning Chinatown Point and Clarke Quay MRTs. The higher floors are Club and Executive rooms much better than Standard. They also afford access to Executive lounges...More,5,Excellent,TripAdvisor,Furama City Centre_TripAdvisor
Checked in for a few days in Singapore after being in Koh Samui for a bit of Retail Therapy.  The Hotel is nice and the room was good with a very comfortable bed and pillows.  We had Club Access included but oh boy is the...More,4,Another Furama,TripAdvisor,Furama City Centre_TripAdvisor
My boyfriend and me are very pleased with the stay and service during our visit last week. The stay was awesome excellent location and variety of food around the surrounding. I would like to express my thanks to Ina Anna and Man Loong they had...More,5,Furama City Centre Stay,TripAdvisor,Furama City Centre_TripAdvisor
It is a great experience and the staffs are really friendly and great location with sophisticated and modern system. The food is great as well. Nice environment in the hotel room and very clean. Internet is free and quite fast.More,5,Great experience,TripAdvisor,Grand Park City Hall_TripAdvisor
I am still staying in the hotel but cannot help making a comment.The hotel is under renovation but looks like the most of part is completed and not noisy for meI like to emphasize that the staff of hotel is kind and warm....More,5,Nice and Cozy hotel. Hope to come back. å±…å¿ƒåœ°ã®è‰¯ã„ãƒ›ãƒ†ãƒ«ã€€ã¾ãŸæ³Šã¾ã‚ŠãŸã„ã¨æ€ã„ã¾ã™,TripAdvisor,Grand Park City Hall_TripAdvisor
The rooms are lovely beds are very comfortable and the breakfast staff were extremely friendly. Will be back.The nearby City Hall MRT makes this location extremely convenient.  Also if you need to access a convenience store Peninsula Plaza is just next door with lovely...More,5,Brand new rooms great sleep,TripAdvisor,Grand Park City Hall_TripAdvisor
We stayed here for 4 nights. The hotel is undergoing a complete transformation and whilst not everything is complete the staff do everything possible to make your stay exceptional including a shuttle service to another hotel for the swimming pool. We stayed in the club...More,5,Absolutely Exceptional!,TripAdvisor,Grand Park City Hall_TripAdvisor
I have previously stayed in this hotel before and again I stayed in the upmarket Crystal Club Rooms and I was amazed to see the Kripa still works here.Derreck and Kripa really do go the extra mile in hospitality and they both made me...More,5,Five Star Above and Beyond,TripAdvisor,Grand Park City Hall_TripAdvisor
Park Regis is conveniently located to area's like Clark Quay and China Town. The staff are exceptionally friendly while remaining professional at all times. The room service food that we also ordered was of very good quality and value for money.The one critique I...More,4,Comfortable and Convenient Stay,TripAdvisor,Park Regis Singapore_TripAdvisor
We decided last minute on Park Regis for a quick staycation and it was beautiful. Upon arrival we were greeted by Cindy and she was very efficient. We got upgraded to the pool access room and although we did not have swimming suits ready we...More,5,An amazing staycation stop,TripAdvisor,Park Regis Singapore_TripAdvisor
The location of hotel is superb very centralised and within walking distance to chinatown and clark quay. Staff are very courteous and professional check in was done within 10minutes..Overall stay was very good except for two points: The towels look old bed was too soft,4,Good stay,TripAdvisor,Park Regis Singapore_TripAdvisor
The staff was very helpful and friendly the rooms were clean and comfortable and the location is great.  Short walk to Clarke Que downtown area shops restaurants.  Also little details were nice such as daily newspaper free loaner umbrella,5,Great location,TripAdvisor,Park Regis Singapore_TripAdvisor
Very accommodating as I got an early check in â€˜ late check out which is great when long flights are involved. Nice pool and room although it was fine for one person it would have been pretty tight for 2. Property is feeling tired though....More,3,Decent property in a great location,TripAdvisor,Park Regis Singapore_TripAdvisor
Good hotel but noisy due to nearby building work.  We were offered a different room but it was too much trouble to pack up and move.,4,Good hotel well located near City Hall,Expedia,Peninsula Excelsior Hotel_Expedia
Good value for the price,4,,Expedia,Peninsula Excelsior Hotel_Expedia
Building next door from 8 to 9 meant that noise was ever present.  Room and furnishings tired.Superb location. Staff were attentive and helpful,3,,Expedia,Peninsula Excelsior Hotel_Expedia
Nice hotel great location.  clean and tidy.   staff very helpful.If checking in on line  for flights at business centre they do charge 1.20sdlrs. Only problem for me was tea in the morning in restaurant was made in tea urn and was slightly stewed would have prefered a supply of tea bags and hot water so i could have made my own tea.,4,,Expedia,Peninsula Excelsior Hotel_Expedia
Comfortable stay not ostentatious and close to MRT,4,Fairly close to rivershopping malls merlion.,Expedia,Peninsula Excelsior Hotel_Expedia
Good location with many shopping malls nearby. Good choices of restaurant. Near to MRT. Very convenient. Friendly and courteous staff.,4,,Expedia,Peninsula Excelsior Hotel_Expedia
If you are looking for a decent hotel then this is it. The price tag does not justify the quality or the service but's it's decent enough for a few nights stay. The rooms were comfortable but the noise of the construction site just outside the window made it challenging during the day. Staff made us change rooms as our room needed the airconditioned to be serviced. Wonder how other hotels manage air-con servicing.,3,Older Hotel in the heart of the City,Expedia,Peninsula Excelsior Hotel_Expedia
Hotel staff were lovely facilities were nice. The hotel has a pool to cool down however closes at 9pm so don't expect to take a late night dip. Close to the SMRT. Lots of shops around to go to. Would stay here again because of the convenience.,4,,Expedia,Peninsula Excelsior Hotel_Expedia
Central to station cool oasis in the early summer heat. Staff and facilities brilliant. Answered queries promptly and provided service. Great breakfasts.,5,,Expedia,Peninsula Excelsior Hotel_Expedia
They don't tell you that the hotel is under major construction and most of the amenities are not available.  Half the hotel is closed.  For example if you want to go to the pool you must take a free shuttle to a sister hotel.,2,,Expedia,Grand Park City Hall_Expedia
I book the room for my colleague and to my surprise the place was still under renovation.,1,Still under renovation.,Expedia,Grand Park City Hall_Expedia
The hotel is very nice absolutely no hassles clean central.  Amazing staff they can't do enough for you.,5,Nice hotel in good location,Expedia,Grand Park City Hall_Expedia
Good hotel in convenient location.  Friendly staff and good breakfast.,4,,Expedia,Grand Park City Hall_Expedia
Hotel under construction. Neither Expedia or Hotel advertised this.  Expedia put tiny comment about construction AFTER the section you book hotel room so you would never see it.  No access to pool at all.  Lobby put inside restaurant.  Entire weekened was a party outside hotel by foreign workers who crowded walkway and streets. Doorman indicated it happens every weekend.   Not sure when construction is finished but don't stay here.,1,,Expedia,Grand Park City Hall_Expedia
The hotel room amenities were quite good and itâ€™s new so condition was good. Conveniently located within 7m walk to city hall mrt station. Staff were friendly and helpful.,4,Close to MRT City Hall station,Expedia,Grand Park City Hall_Expedia
The staff really friendly and helpful.. Good location for traveler and  business.,5,,Expedia,Grand Park City Hall_Expedia
Great newly renovated room in the heart of Singapore. Staff were fantastic in all ways. Had a Club access room which included a great breakfast and evening drinks and snacks as well as a free mini bar in the room. Hotel undergoing renovations which made it a little noisy after 9am until about 7pm but nothing too bad. Will be a fantastic hotel once renovations are complete and will be back next time we are in Singapore. Can recommend this hotel to anyone.,5,Great rooms and fantastic staff,Expedia,Grand Park City Hall_Expedia
Thr rooms are very small without any comfort. The beds where stinking. The price much to high. But the staff is very friendly,2,Small rooms stinking beds,Expedia,Quarters Hostel_Expedia
The windowless room wasn't great. Small and squashed with 4 people in there. Definitely not a family room. The shower and toilet in the same room is never a good idea either. Expensive.,3,Expensive windowless room.,Expedia,Quarters Hostel_Expedia
extremely small rooms and horrible bathrooms if they dont have the facilities then should not offer a service that will surely disappoint many.,1,small rooms awful bathrooms,Expedia,Quarters Hostel_Expedia
In general nice hostel very friendly stuff. Great location. The room was very small but ok. The biggest downside of this hostel is the combined toilets and showers. Most of them don't have windows and are poorly ventilated.  So it's horribly hot inside. The toilets are usually wet due to the fact that you shower over them. You aren't allowed to bring food into the room.,4,Nice hostel. Very bad showers/toilets.,Expedia,Quarters Hostel_Expedia
Staff here were fantastic really helpful and friendly. The rooms were clean though there isn't a lot of space for suitcases when fully booked. The hostel is a short walk away from the beautiful Clarke Quay and the MRT station.,4,Great location fantastic staff,Expedia,Quarters Hostel_Expedia
First Very careful tick bit in bed. We stayed this hostel a week ago but still itch maybe tick bit. Seems like tick bit since bit has a line with 5 holes.  SecondI reserved family room for 4persons paid over usd$80. Family room photo in this site what I reserved is not we stayed room. 1/3 size of family room and can only one person stand up in room. Can you image how much small? But hotel photos look great but it's not. And very noisy in midnight. Horrible experience.,1,Horrible experience,Expedia,Quarters Hostel_Expedia
Lovely youth hostel!! Excellent location 2mins walk from the river and tube station in the centre of the city! Facilities match what you pay for really. Very clean however aging building with a basic service. Very accommodating staff,4,Cute cosy but aging youth hostel in city centre,Expedia,Quarters Hostel_Expedia
Impressed with clean and well kept place. Location is also very good central in City. And easy to find food.,5,,Expedia,Quarters Hostel_Expedia
CONS1. The blankets are dusty musty and worst weren't properly washed before handling out to the customers.  2. Deposit of $20 per key which are charge of $15 per key for admin fee if return to them after counter close. It is very inconvenient as we not sure what time we will be back to hostel. We have ask the counter regarding return of key and the deposit before we go out at morning the counter never remind us that they are no staff after 10.30pm. When we back at hostel already late night and no staff at counter. We tried to call the number listed at counter there was no one answer the phone. So early morning we just put the key at counter drawer and email them regarding deposit. Than they reply and refuse to pay back full amount and want to charge us $30 as we have request for another key. This is not our false right really unfriendly. PROS 1. Good location near mrt 2. Free simple breakfast ,2,Hostel with good location only,Expedia,Quarters Hostel_Expedia
It was highly recommended for backpackers.,4,,Expedia,Quarters Hostel_Expedia
The service at reception was excellent staff was friendly and accomodating. We had a large room with comfortable bed the room is very clean and loved the bluetooth speaker. The location is perfect near city area Marina Bay and Singapore river. All in all it was a very pleasant stay and we enjoyed it a lot.,5,Excellent Stay,Expedia,The Fullerton Hotel Singapore_Expedia
