review,rating,header,SourcePortal,Key_Column
Stayed in this hotel some years ago and loved our room and particularly the bathroom previously On this visit we were slightly disappointed with the first room we were given we requested another room and our request was actioned immediately. The second room was much better although the bathroom wasnâ€™t quite as nice as the one we had on our previous visit . As with all hotels there are nighttime glows of lights in the room which have to be covered to darken the room for sleeping and doors that bang woke up several times by other guests arriving and the door banging  Otherwise everything was really lovely. Bed was very comfortable staff were friendly and the location is superb,5,Bliss in The Fullerton,Expedia,The Fullerton Hotel Singapore_Expedia
Top notch hotel very comfortable to stay. I had the courtyard bedroom which was nice quiet and so good to sleep in,5,Iconic colonial in the heart of CBD,Expedia,The Fullerton Hotel Singapore_Expedia
The Room very comfortable and nice river room view.Near by MRT station and sightseeing place. Near Lau Pa Sat food court.,5,Good experience and excellent of Fullerton Hotel.,Expedia,The Fullerton Hotel Singapore_Expedia
The location is unbeatable you can do anything just walking and the building is just beautiful. Service is fantastic and very attentive breakfast was huge with Chinese Indian Japanese etc. All kinds of food and very well prepared and arranged. The pool is rather small but so nice and you're in the heart of CBD watching the riverside it's lovely! We had a very late flight and were given extra key cards after check out so we could still use the pool and showers which we appreciated a lot! Only downside our room was really tiny. More for single travellers we had almost not enough room in the cupboard for our stuff and we had to unpack as the 2 suitcases were way to big for that small room. Bathroom was huge though! Easy to walk to Lau Pa Sat for great food and only like 20 min walking to MBS. Loved the hotel would like to come back!,5,Wonderful heritage hotel right in the center,Expedia,The Fullerton Hotel Singapore_Expedia
The Fullerton tips a hat to the colonial past of Singapore whilst embracing all the modernity one would expect from a premier hotel. The staff cannot do enough to ensure your stay is faultless and the ammenities provided in the Straits Club are first class. In the literal but certainly not metaphorical shadows of the Marina Bay Sands the Fullerton is everything that a hotel should be; classical stylish and effortless. Simply put I would come to Singapore again just to stay at the Fullerton.,5,An outstanding and timeless hotel,Expedia,The Fullerton Hotel Singapore_Expedia
Although an historical building this hotel was renovated to be an excellent place to stay. It is just by the River walk and close to the Marina Bay. It is where we will stay next time again.,5,Historical hotel by the river and close to the bay,Expedia,The Fullerton Hotel Singapore_Expedia
Excellent is the only word to describe this place.,5,,Expedia,The Fullerton Hotel Singapore_Expedia
Friendly and passionate staff to make you feel at home.,5,Nice beautiful sea view,Expedia,The Fullerton Hotel Singapore_Expedia
Hotel is clean and the aircon is cold enough to cope with the heat.Bathroom for the small room is large enough for me to move around. Have a nice TV and nice bed,4,Good stay,Expedia,Hotel Clover The Arts_Expedia
Friendly staff and clean/tidy room however room is too small to stay comfortably with more than one guest. Breakfast is okay.,3,,Expedia,Hotel Clover The Arts_Expedia
Overall was a nice stay. The 2 staffs I checked in with were so nice and helpful.,4,,Expedia,Hotel Clover The Arts_Expedia
Hotel rooms are small but clean and very well equipped. Great room for one person.  Very polite staff who are very helpful and knowledgeable.  Looking forward to my next stay at the hotel.,5,Hotel in good position,Expedia,Hotel Clover The Arts_Expedia
The location is great Both the china town and Clarke Quay area are within walking distance. The hotel is also surrounded by a lot of good places to eat and it is easy to go anywhere.,4,,Expedia,Hotel Clover The Arts_Expedia
Near mrt clark quay and can walk to Merlion Park around 20 minutes,5,Room is small but clean.,Expedia,Hotel Clover The Arts_Expedia
They fleece you just to give you a room with a window. I am just very surprise they make hotel rooms like that.,3,Tiny rooms smaller than a suitcase.,Expedia,Hotel Clover The Arts_Expedia
Room is really small but functional but Walls are too thin so you can hear everything from rooms next to you. Location is great and personnel is really friendly. Overall I would recommend this place if youâ€™ll be using it only for charging batteries for next day,4,Small and functional,Expedia,Hotel Clover The Arts_Expedia
The hotel was very comfortable though the room was very small with no window. As we were prepared for this it didn't worry us. The location is great and the staff were very friendly and helpful.,5,Overnight stay,Expedia,Hotel Clover The Arts_Expedia
A great little hotel rooms a bit small but real value for money. The room amenities were bettter than some other hotels. I would return.,4,Value for money,Expedia,Hotel Clover The Arts_Expedia
The hotel is old and smelly  room is small  shower is ok but the floor is so wet bc the water did not drain well also smelling too much oil paint cause me had a lot of headache lucky I was there only 2 days and one night  most of the time we went out  we only come back ther to sleep for night  hotel is close to everything.,2,Old hotel,Expedia,Jayleen 1918 Hotel_Expedia
good location bed was horrible (Asian style really hard),3,,Expedia,Jayleen 1918 Hotel_Expedia
This hotel needs renovation. Lot of stuff is broekn.Also felt little discriminated as every morning  breakfast leady asking room number and in list it is speicly remakes indian in front of my name.  Service was pathetic.,1,Not value for money and felt discriminated,Expedia,Jayleen 1918 Hotel_Expedia
Very friendly and helpful staff clean room good breakfast great location.,5,Good choice!,Expedia,Jayleen 1918 Hotel_Expedia
Ok hotel if you don't mind sharing with the local ants in your room.Room was a reasonable size but in need of a makeover and a good clean.Breakfast was basicbut ok.Good location for all the local attractions.Would i stay here again?Probably notalthough the staff were very friendly.This is definetleya case of getting what you pay for!!,4,Basic room at a good price,Expedia,Jayleen 1918 Hotel_Expedia
This was a nice stay for four nights.  Not far from the metro (Clarke Quay was closest then Raffles Place).  Nice rooftop view ust above the 6th floor.  A great place to look around in 360. Good full breakfast with several choices.  Room was fine but bed was a bit small but adequate.  We would definitely stay here again.,5,Great Hotel close to lots of things.,Expedia,Jayleen 1918 Hotel_Expedia
The front desk staff are lovely the room is incredibly spacious and the location is great. The room particularly the bathroom needs an update. Not sure if all rooms had the same issue the shower drain in mine emitted a strong potent smell of sulfur. The bed was hard and the pillows exceptionally firm. If you like that you'll love the beds. Given the drawbacks the price I paid was not value for money.   The breakfast in the buffet was okay and was a good inclusion as many food places in Singapore don't open until later in the morning. The hotel is located near lots of good eateries and a couple of nice shopping precincts. The hotel is also located on the edge of Chinatown district which was convenient.  The location was great especially for the Singapore F1. Was also able to visit a lot of sites. However did rely upon taxis as means of getting around to some further sites such as the zoo.,3,Needs an update,Expedia,Jayleen 1918 Hotel_Expedia
As we arenâ€™t in the room very much we were quite happy but the place is a little tired,3,Close to the river,Expedia,Jayleen 1918 Hotel_Expedia
The hotel is an old one and the furniture and bathroom matches that as well.  It was clean.,3,Old Hotel with Nice Staff,Expedia,Jayleen 1918 Hotel_Expedia
close to MRT station but room space was less than expect. They didn't post the updated information about the laundry the dryer was broken but no notice. the washer is old and not function well which made mu last night more stressful about cleaning the clothes. The staff was helpful. the distance of breakfast location was acceptable. The food was ok.,3,,Expedia,Jayleen Clarke Quay Hotel_Expedia
Only 1 minute from Clark Key station.If you don't mind room size( relatively small ) it is recommendable. Please note that only VisaMaster can be used.,3,Good location,Expedia,Jayleen Clarke Quay Hotel_Expedia
Needed a cheap and cheerful hotel for a brief stop in Singapore. Wanted somewhere close to the travel hubs and Boat Quay.Hotel rooms are tiny but adequate for solo travellers with 1-2 days to kill who don't want or need a high end hotel.Staff are polite friendly and efficient.Breakfast is an 'experience' basic fare in a sister hotel a sort of Chinese 'caff' - plenty of Chinese restaurant leftovers available to supplement the cereal fruit and toast if you feel you need to top up your MSG levels.,3,Well located economy hotel,Expedia,Jayleen Clarke Quay Hotel_Expedia
This hotel is right opposite Clark Quay MRT so that was very handy. The room is tiny but there were a number of drawers for storage and room under the bed for luggage. The bathroom was tiny but clean and toiletries were supplied. The staff were very helpful with anything we asked about. The included breakfast is provided at their sister hotel around the corner and it is a buffet with some Asian food as well as European.,3,Good location but tiny room.,Expedia,Jayleen Clarke Quay Hotel_Expedia
Good!,4,Try Jayleen!,Expedia,Jayleen Clarke Quay Hotel_Expedia
Near foodcourt and mrt. Nice staff hotel,5,Good,Expedia,Jayleen Clarke Quay Hotel_Expedia
I didn't enjoy my stay in the hotel. The first room we stayed in was very very small and one quarter of the floor space was taken up by glass partition enclosure that was the shower/WC. After a few days the solar hot water system failed and we had no hot water for nearly 3 days. To their credit the staff moved us to a 'deluxe' room which had lukewarm water. I have to be honest and say it was not value for money. I have stayed at a better budget hotel nearby.,2,Budget hotel in great location,Expedia,Jayleen Clarke Quay Hotel_Expedia
If youÂ´re just looking for a bed in a convenient area this hotel is excellent. Seems secure and they accommodated our early arrival. The only downside is the really really tiny room and bathroom (you can shower and use the toilet at the same time basically) but given it's Singapore I think we can't fault them for that.,4,Really small room but OK for a short stay.,Expedia,Jayleen Clarke Quay Hotel_Expedia
Staff were courteous and helpful.Hotel was clean and location was ideal. Close to bus and train system and restaurants on the waterway.Close to shopping venues.Excellent place to stay. ,5,,Expedia,The Quay Hotel_Expedia
The Quay Hotel is well maintained but the rooms are too small to adequately cater for two travellers with large suitcases etc.  The breakfast is basic but certainly adequate.  The rooms are clean the staff are excellent and the hotel is well situated near a metro station and with a bus stop right outside the front door. If the small room is not an issue I would gladly recommend this place.,3,Room too small for travellers,Expedia,The Quay Hotel_Expedia
The room was quite unlike what we expected and saw on the website.  As small as we have ever seen and no window to the world.  Shower ran out of hot water and breakfast did not start till 8am - too late.  From the look of where it was provided it looked disappointing too.,2,Tiny room,Expedia,The Quay Hotel_Expedia
The hotel is a gem in Singapore.  Modern facilities and clean.  Value for money xonsider ing how expensive Singapore is,5,Nice hotel in the city,Expedia,The Quay Hotel_Expedia
I stayed in this hotel for one night. It is only 5 minutes walking distance from train station and 10-15 minutes walking distanance from downtown core. Hotel staffs are friendly room is clean.,4,Nice hotel with convenient location,Expedia,The Quay Hotel_Expedia
The place was close to many attractions and very convenient to take public transport,5,Nice hotel close to train station,Expedia,The Quay Hotel_Expedia
It was very pleasant. The staff was very welcoming and very knowledgeable. They help us on how to get around. The room is excellent. Very clean and the bed was brand new. The bathroom was very clean,5,Feels like home,Expedia,The Quay Hotel_Expedia
We had an issue with the shower drain draining very slow which floaddd the bathroom. We called the front desk with  no results.The â€œfree breakfastâ€ is a voucher for a toast restaurant located 2-3 blocks away. This was a joke. We went the first day never again.,3,,Expedia,The Quay Hotel_Expedia
Hotel was newly renovated location is superb to travel to city and Chinatown. Short walk to the happening nightlife,5,Great location and amazing bed,Expedia,The Quay Hotel_Expedia
Empfehlenswertes Hotel fast direkt am Boats Quay mit vielen Restaurants und Kneipen um die Ecke extrem gut angebunden und trotzdem ruhig. Sehr hilfreiches Personal.,5,angenehmes Hotel mit super Lage,Expedia,The Quay Hotel_Expedia
Overall staffs are friendly & helpful. The room is a bit small but is ok for single traveler.,4,Good location,Expedia,Hotel Clover 5 HongKong Street_Expedia
Room too small canâ€™t move around close to China Town. Staff were nice very helpful.,2,,Expedia,Hotel Clover 5 HongKong Street_Expedia
good value and central. very small room though. staff excellent,4,city stopover,Expedia,Hotel Clover 5 HongKong Street_Expedia
The hotel was lovely and the staff are helpful and friendly ... breakfast was ok but the breakfast room is tiny which made it uncomfortable. There are several Clover Hotels in the same area. There appears to be a Clover Arts Hotel and Clover 7 Hotel too.,4,Living in Clover ?,Expedia,Hotel Clover 5 HongKong Street_Expedia
The room itself was pretty small and cosy but had a comfortable bed private bathroom and had all you needed.  The bonus was definitely having the use of a smartphone with unlimited Internet to explore Singapore without having to get a tourist simcard!  Breakfast was pretty average however was still all we needed for our 2 night stay in Singapore.  The hotel is located about a 5min walk from Clarke Quay and also about a 10min walk from Chinatown.  A taxi to Sentosa island only cost $15 and to the Airport was $20 arriving and $25 departing.,4,Small cosy but all you need!,Expedia,Hotel Clover 5 HongKong Street_Expedia
Great access to everywhere SevenEleven MRT Chinatown Marina bay bars shopping mall  bay cruise. Confortable bed and good sleep but very small room. Breakfast need to be improved taste and variation. Need toothpick. Coffee cup  glass drawer was heavy to open.,4,Efficient and great stay in Singapore.,Expedia,Hotel Clover 5 HongKong Street_Expedia
A very tidy hotel however I Have never thought to check the size of the rooms before.These rooms are very small. I would recommend the hotel hut warn about the size of the rooms.,4,Small room,Expedia,Hotel Clover 5 HongKong Street_Expedia
Great city hotel if all you want is a clean room to rest in each night as you should be spending most of your time out and about in the city. Small rooms but cleverly integrated with a bathroom and shower facility. Clean comfortable and all the basics provided as well as a sufficient breakfast available form polite and friendly staff.,4,Great city hotel,Expedia,Hotel Clover 5 HongKong Street_Expedia
Comfortable with unexpectedly great amenities in the room. I was pleased to see they have provided simple pleasures to guests such as bathrobes slippers coffee machine and good toiletries in the bathroom.  Well designed compact small rooms. And great add-on of free unlimited wifi handy handphone for guests to bring out with them.,4,Luxury in simplicity,Expedia,Hotel Clover 5 HongKong Street_Expedia
Small room. But everything else is nice. The staff (Bobby) is so helpful.,4,,Expedia,Hotel Clover 7_Expedia
Great experience. Service wonderful. Perfect location. Near public transit good nightlife food everywhere (including 24 hour restaurant). One downside: breakfast was mediocre.,4,Great location with friendly staff.,Expedia,Hotel Clover 7_Expedia
The lady at check in was not friendly and lost on 'first impression'.,3,A convenient hotel with very tiny room.,Expedia,Hotel Clover 7_Expedia
"Room was small and windowless as advertised.  Felt a bit cramped but it was advertised.  Wifi was good but was slow for VPN.  The staff delivered on the free water and soda. Hotel was situated close by to the MRT at Clarke Quay served by the North East line.  I found Exit A to be the closest entrance as this avoided having to cross New Bridge Road.  Bus service on South Bridge Road was also very convenient.  The hotel was walking distance to Chinatown Clarke Quay and Boat Quay.  It was easily transit-able to further places like Orchard Road Harborfront and the Esplanade.  Lots of little shops close by for a snack or a meal.  Hawker markets also nearby in Chinatown.Onto the cons: the night light for the bottom of the bed had to stay on for the reading lamps to work.The elevator was very annoying if you can hear it.  The beeps when the doors open and close are very annoying.  The announcements on the elevator for ""door opening"" and ""door closing"" are also useless as the door has already completed the function",4,As advertised - small windowless room,Expedia,Hotel Clover 7_Expedia
Only drawback was the extremely small size of the room. There was no room to even open a suitcase without using the bed. If you travel with a very large suitcase then you wonâ€™t be able to get it under the bed.  Apart from the room size everything else was superb the service cleanliness and breakfast all excellent.  Would stay again but be better prepared.,4,Excellent but very small,Expedia,Hotel Clover 7_Expedia
Rooms very small but clean and comfortable. Location was very good.,4,,Expedia,Hotel Clover 7_Expedia
Solo traveling in Singapore and this hotel was more than sufficient. The room was small but perfect for one person to crash in. Complimentary beverages was a plus and a hand held device was provided to search recommendations and access to google maps in case you donâ€™t have data. Staff was courteous and very accommodating. The location was convenient with a 10 minute walk to public transportation convenient pick up and drop off for Uber drivers and also central to many sites to see. I would definitely stay here again during my next visit to Singapore.,5,Excellent accommodations for a leisure stay,Expedia,Hotel Clover 7_Expedia
Room very small.  Reception had not received my Hotels.com reservation details.  But overall OK for 1 night (that's all I needed).,3,,Expedia,Hotel Clover 7_Expedia
The hotel is perfecly located in downtown Singapore. While it seems to have been recently renovated the windows soundproofing was absolutely nonexistant and was the biggest issue during our stay. It was so bad it was like having no windows at all. You could hear every discussion happening in the street below. As it is a street with lots of bars and activity at night you can imagine how unpleasant nights can be.,4,Perfectly located hotel but badly soundproofed,Expedia,Hotel Clover 7_Expedia
I was attending a conference at Sands Expo & Convention Centre.I wanted a hotel nearby the Sands Expo which was surrounded by expensive 5-star hotels.Fragrance View Riverside is the rose among the thorns.Basic hotel with 7-11 right at the bottom of the hotel and peaceful environment 5 minutes walking distance to Clarke Quay MRT station and surrounded by local food restaurants.The room was a little small though comfortable.10 minutes MRT ride to Sands Expo.,5,Affordable hotel walking distance to MRT,Expedia,Fragrance Hotel - Riverside_Expedia
Modern and clean hotel orientated to people who spend more time exploring city rather than hotel. Location was very good 20 min walk to Marina Bay or 15 min walk to Chinatown. Personnel very friendly and professional. Though room with a window would have been more pleasant. It does have nice swimming pool on the roof with decent view. Very good hotel for the Singapore Price range.,4,Budget hotel near attraction area,Expedia,Fragrance Hotel - Riverside_Expedia
Pros: Hotel staff is very friendly and helpful. The location is pretty good close to a station and a 7-eleven. They give you free water bottles which they replace everyday.Cons: Poor sound proofing very noisy at night. Super small not enough space if you have big luggages. The water temperature is inconsistent only had one hot shower in my 3 nights there. Overall would not recommend would look for something else.,3,You get what you pay for: very small room,Expedia,Fragrance Hotel - Riverside_Expedia
location is good near clarke quay and a short walk to chinatown. hotel room a bit small and shower didnt have a door or anything just a shower head not sure if it was just our room or not. asked for a new towel on sunday and they said they ran out.. usually hotels have towels for the pool area and they didnt so maybe bring your own towel..,2,its OK,Expedia,Fragrance Hotel - Riverside_Expedia
We were put in a minuscule apartment with NO WINDOWS and a wet room style shower (in other words there was no shower there was just a shower head over a toilet). Mold was growing all over the bathroom because of this design. This being said the staff were wonderful and very helpful the pool is really nice and the location is fantastic. If ur looking for a cheap stay and are happy to camp in a moldy shoe box this'll suit your needs. If u prefer a bit of luxury when ur on holiday this won't be the one for you.,3,Good Location Good Price but Uncomfortable living,Expedia,Fragrance Hotel - Riverside_Expedia
WiFi connection very weak in the room & mobile 4G network coverage also poor.,4,Poor Mobile & Internet coverage,Expedia,Fragrance Hotel - Riverside_Expedia
Excellent a+...,5,,Expedia,Fragrance Hotel - Riverside_Expedia
Room are too small.bathroom toilet and shower all in one very tiny bathroom and uncomfortable.,4,Close and convenient to shopping and restaurants.,Expedia,Fragrance Hotel - Riverside_Expedia
This hotel is near the heart of Clarke Quay and walking distance to Boat Quay which are places you might want to be near for its nightlife in Singapore. It is also opposite the Clark Quay MRT.Hotel staff and service is pretty good. Hotel room is decently clean and comfortable for a budget hotel.,4,Great for budget hotel,Expedia,Fragrance Hotel - Riverside_Expedia
Room is small but equipped with all necessary functions and more importantly it is spotless. Staff is very helpful and friendly. Location is superb. Highly recommend for those who doesnâ€™t mind compact space.,5,Great value for small room and small budget,Expedia,Champion Hotel City_Expedia
The strength of this hotel is its location. It is close to downtown and a lot of the major sights. In case of a need to use the excellent public transportation there is a metro station cross the street. The room was rather basic but had everything that was needed.,4,,Expedia,Champion Hotel City_Expedia
Room is small but as expected in Singapore.Cleanliness and service of front desk staffs could be better though.,4,Great location,Expedia,Champion Hotel City_Expedia
Pleasant stay good access to transport.  Very clean and  generally quiet.,4,,Expedia,Champion Hotel City_Expedia
As long as you keep your expectations real you won't be disappointed with this hotel. The rooms are compact but have every thing you need for a comfortable stay. I especially enjoyed the shower. Large rain head with a hand-held also. Plenty of hot water and pressure. After a hot day exploring Singapore the shower was most welcome. Laundry facilities on site (SGD 9.00 wash dry and detergent). Staff were very friendly and welcoming gave me and early Check in after my early flight. The bed was comfortable and there was some drawer storage. Only thing I missed was somewhere to hang my shirts. There was a ladder type thing you can use but it's not great. The room I was in had space for a closet or even just a rod. Minor niggle. MRT stations close by was very useful. Short walk to many restaurants and coffee shops.Overall I would highly recommend this hotel for those on a budget.,4,Good hotel close to many attractions.,Expedia,Champion Hotel City_Expedia
had a really nice trip to singapore staying in champion hotel city was a great choice as well.the hotel is in the downtown area which means its an easy walk to Chinatown or Clarke quay MRT is close by as well rooms were clean and staff friendly and very helpfull would be staying there again without a doubt.,5,great place very centrally located,Expedia,Champion Hotel City_Expedia
The room was small which was perfectly okay for me as I was only transiting overnight. One thing that can be improved is that there was hot water only for the first 30 second of the shower I took then after that is was lukewarm. Otherwise the hotel was fine. Room recommended for business travelers only.,4,Good hotel in a great location,Expedia,Champion Hotel City_Expedia
Comfy hotel in a very convenient location. Small rooms but the layout makes them very functional. Super clean and the self-service laundry is nice to have.,5,,Expedia,Champion Hotel City_Expedia
Reception staff are nice. Breakfast is good. China town and Clarq Quaye is around the area.,4,,Expedia,Park Regis Singapore_Expedia
Located really close to all the restaurants.,5,,Expedia,Park Regis Singapore_Expedia
Very good hotel  staff is good  view is good  bed is good if i go to singapore i will choose this hotel again,4,Good good,Expedia,Park Regis Singapore_Expedia
Enjoyable stay. Comfy room. Free WiFi. Close to tube line and Clark quay plus china town. Good transport links to other places.,5,Nice relaxing hotel,Expedia,Park Regis Singapore_Expedia
The hotel staff is very helpful and kind. They made our visit in Singapore enjoyable,5,,Expedia,Park Regis Singapore_Expedia
Nice location and staff. The rooms have too many design floors. The air con only blows really cold and blows right onto the bed not good for light sleepers. They have the shower and toilet next to each other in the same cubicle water from the shower gies right over to the toilet,2,,Expedia,Park Regis Singapore_Expedia
"The reception staff were extremely courteous. They assisted very well for checking in and provided us with all the assistance. The facilities provided to us were world class and we didn't find the place ""wanting"" for anything whatsoever. Everyone were kind and they ensured we had a nice experience.",5,Excellent experience,Expedia,Park Regis Singapore_Expedia
excellent hotelgreat location .I love it when I go back to the room and see how tidy and bright the room is.it is not an expensive hotel but giving me a five star treatment,5,excellent hotel,Expedia,Park Regis Singapore_Expedia
Nice clean and contempory styled hotel friendly helpful staff a very pleasent stay! Also good central location and good price!,5,Nice one this hotel ah!,Expedia,Park Regis Singapore_Expedia
I had the most relaxing experience at the hotel so much so that I was very tempted to extend my staycation for another night! The Deluxe Room was really spacious king sized bed was so comfortable and the room was quiet and relaxing in general. The bathtub in the room is definitely one of the biggest I came across! Daily breakfast buffet was something we looked forward to every morning. Overall I would highly recommend at least 2 nights stay at the hotel to fully enjoy the room.,4,Great hotel in good location,Expedia,PARKROYAL on Pickering_Expedia
Very comfortable stay and very friendly and helpful staff!,5,,Expedia,PARKROYAL on Pickering_Expedia
Amazing central location near Chinatown and Clarke Quay MRT. The hotel is simply beautiful and staff are friendly. Definitely recommended.,5,,Expedia,PARKROYAL on Pickering_Expedia
Unique business hotel with an avant garde and eco approach. The rooms are beautiful with a to die for views of Singapore.,5,Beautiful Business Hotel,Expedia,PARKROYAL on Pickering_Expedia
Comfortable/nice room.  Very nice architecture hotel/room itself.  Overall good stay.  However price/quality food is off for in-room dining.  Entrance door to hotelroom is too heavy. When raining canâ€™t access pool and gym staying dry.  Didnâ€™t mention that after 5pm discount for Spa is not applicable.,4,Nice Stay,Expedia,PARKROYAL on Pickering_Expedia
Nice hotel with great location. Love the environmental friendly idea and greenery! Thanks for the birthday cake! :),5,Super nice hotel,Expedia,PARKROYAL on Pickering_Expedia
One of the most comfortble and memorable hotel stays I've ever had. Beautiful hotel excellent service and ridiculously central location.,5,,Expedia,PARKROYAL on Pickering_Expedia
Great experience only complaint is that furniture in room is a bit old and rooms need better cleaning,5,Green Hotel,Expedia,PARKROYAL on Pickering_Expedia
Overall service level is there but counter staff can show more genuine and personalised as the way they communicate and interact now feels very superficial and mechanical. Staff at Lime however is quite attentive to details and good job  for making us feel comfortable. Hotel stay is comfortable and the eco friendly designs are a refreshing touch to the experience.,4,Staff hospitality can be improved,Expedia,PARKROYAL on Pickering_Expedia
The breakfast was not bad but also not that special,4,,Expedia,PARKROYAL on Pickering_Expedia
You get a free phone to use nice bonus,5,,Expedia,Furama City Centre_Expedia
convenience for travelling because of good location.,4,good location,Expedia,Furama City Centre_Expedia
Excellent service.,5,,Expedia,Furama City Centre_Expedia
Good breakfast Lots of Restaurants nearby. Nice staff clean room.,4,Comfortable hotel In China Town,Expedia,Furama City Centre_Expedia
It was OK for a 2 day stay Hotel needs an upgrade especially the bathrooms really dated. Cleaning could be better too.,3,Convenient location,Expedia,Furama City Centre_Expedia
Stayed here before and will stay here again. Great staff location is good great breakfast.,5,,Expedia,Furama City Centre_Expedia
Hotel is clean safety very good location itâ€™s easy to go anywhere by bus train or walking. Lots of food shopping mall convenience store tourist attraction area.,5,Great location,Expedia,Furama City Centre_Expedia
Always a delight to stay here. Spacious. Beautiful view. Nearby eats shopping. Cultural centre of sg,5,Just an excellent hotel,Expedia,Furama City Centre_Expedia
Very satisfied,4,,Expedia,Ascott Raffles Place Singapore_Expedia
The room was a good size and had a reasonably upmarket feel. What I really liked was that since this was more of a serviced appartment than a hotel room it came with features like washing machine and large fridge (and dishwasher but I never used that) which made my 5 day stay very easy (I go running or use the gym a lot so being able to easily wash laundry is a big positive being able to store basic food (and wine) is also a big positive). Staff were friendly and polite and helpful too. Gym equipment is a bit sparse and not my taste but at least I had somewhere to exercise. The glass sided pool is a fun novelty make sure to bring goggles so you can enjoy the city view from underwater! Location was good sited next to a subway station. And Marina Bay Sands complex is just a short walk away (7 mins). I would definitely use again if I am doing business in that area in future.,4,More of an appartment than a hotel. Which is good!,Expedia,Ascott Raffles Place Singapore_Expedia
Very convenient location business and tourist attractions in walking distance and a subway station right at the doorstep. Very friendly and helpful staff clean room with the amenities to make for a comfortable stay at an ApartHotel.,5,Great stay and convenient location,Expedia,Ascott Raffles Place Singapore_Expedia
Service cleaniness and location is really good and as expected for price. But please beware unless you are a tourist and not driving please do not stay at this place. I paid additional S$50+ for parking alone as the hotel does not have parking space on its own.Check-in timing is 3pm and we got denied late checkout till 1pm. Overall experience isn't pleasant.,1,Take note!,Expedia,Ascott Raffles Place Singapore_Expedia
Nice hotel to stay for business. Unfortunately couldnâ€™t check in before the official check-in time.,4,,Expedia,Ascott Raffles Place Singapore_Expedia
The room and hotel is nice enough. However no room service after 9:30 pm and no mini-bar.  Granted lots of places to eat locally.  They didn't budge at all for an early or late check in (even 30 minutes - though that is their right).  Friendly staff.  Overall good enough but when paying the price they ask would expect a little more.,3,It was just good,Expedia,Ascott Raffles Place Singapore_Expedia
Pros - price comfort clean welcome drinkCons - a bit of walking from mrt station room not connected to main lobby,4,Money worth,Expedia,The Southbridge Hotel_Expedia
The good news is that the Southbridge Hotel is in Singapore's Chinatown and is reasonably clean.The bad news is that the rooms are TINY....no more than 100 square feet for the bedroom and bath.  Also our only window was painted over and did not open.  The price was good but I would have gladly paid for a larger room or different hotel but we had just flown in from San Francisco were very tired and I did not want that hassle.  I would not recommend this hotel to any other people.,2,Tiny room....No window,Expedia,The Southbridge Hotel_Expedia
Booked this place because it has a nice looking bar on the ground floor two actually. And because of its central location near a lot of the attractions and only 10min walk from boat quay.Because of previous reviewers complained about the music being loud and the standard rooms being small and dark I booked a deluxe room. The room was very nice clean and spacious enough. The bed was really comfortable and large. Only downside about it is the fact that everything gets wet if you shower.The atmosphere at the hotel wasn't all that lively which I hoped. As a solo traveller its nice to meet fellow travellers. The bar was not that busy most of the time and the people there seemed mostly local not traveller. Not the hotel's fault though. Breakfast seemed decent enough allthough i didn't use it. There were no glutenfree options so i was told. This made the price i paid a bit high (95 euro a night). Other than that no complaints.,4,Solid stay.,Expedia,The Southbridge Hotel_Expedia
Hotel had a distinct smell (negative) was loud until past midnight (hard to sleep),4,,Expedia,The Southbridge Hotel_Expedia
Nice hotel in a great location close to Chinatown MRT station. Rooms arenâ€™t the biggest but great value for the money you pay. Would recommend.,5,Great Value for money,Expedia,The Southbridge Hotel_Expedia
I loved the room. The first moment I was shocked how tiny a room can be. But it was perfect. Everything very modern. Everything you could need was given. Very high Standard. The airconditon was very helpful because of the size.Would definitely book there again! Was a Great stay!,4,An experience! :) tiny but perfect!,Expedia,The Southbridge Hotel_Expedia
check in check out easy and fast.But them give us Disability room.Feel uncomfortable.Poor sound insulation.,3,Feel uncomfortable because Disability room,Expedia,The Southbridge Hotel_Expedia
